timestamp,source_ip,action,reason
2026-03-12 18:47:56,192.168.1.2,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.5,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.6,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.7,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.8,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.9,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.10,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.11,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.14,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.15,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.20,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.21,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.24,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.26,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.31,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.37,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.39,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.40,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.41,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.45,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.46,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.49,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.51,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.57,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.58,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.61,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.64,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.67,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.68,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.69,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.71,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.74,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.76,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.79,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.81,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.82,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.85,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.87,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.88,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.93,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.94,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.99,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.104,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.116,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.120,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.121,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.122,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.124,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.130,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.131,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.134,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.135,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.138,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.139,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.141,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.142,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.149,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.150,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.152,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.153,BLOCKED,DDoS Attack Detected
2026-03-12 18:47:56,192.168.1.154,BLOCKED,DDoS Attack Detected
